Total rows: 15979
1: 道具名稱 | 說明 | 編號
88: 特洛西Lv5斧頭 | 攻 +52 防 -17 敏 -17        睡眠的精靈 Lv5 | 86
89: 特洛西Lv5斧頭 | 攻 +52 防 -17 敏 -17        睡眠的精靈 Lv5 | 87
90: 特洛西Lv5斧頭 | 攻 +52 防 -17 敏 -17        睡眠的精靈 Lv5 | 88
91: 特洛西Lv5斧頭 | 攻 +52 防 -17 敏 -17        睡眠的精靈 Lv5 | 89
92: 薩姆吉爾的斧頭 | 攻 +60 防 -20 敏 -20 | 90
93: 貝洛薩Lv5斧頭 | 攻 +58 防 -19 敏 -19        毒霧的精靈 Lv5 | 91
94: 威金娜斯Lv10斧頭 | 攻 +58 防 -19 敏 -19        石化的精靈 Lv5 | 92
95: 貝所金Lv5斧頭 | 攻 +58 防 -19 敏 -19        混迷的精靈 Lv5 | 93
96: 萊伊薩Lv5斧頭 | 攻 +58 防 -19 敏 -19        酩酊的精靈 Lv5 | 94
97: 特洛金Lv5斧頭 | 攻 +58 防 -19 敏 -19        昏睡的精靈 Lv5 | 95
98: 特洛金Lv5斧頭 | 攻 +58 防 -19 敏 -19        昏睡的精靈 Lv5 | 96
99: 特洛金Lv5斧頭 | 攻 +58 防 -19 敏 -19        昏睡的精靈 Lv5 | 97
100: 特洛金Lv5斧頭 | 攻 +58 防 -19 敏 -19        昏睡的精靈 Lv5 | 98
101: 特洛金Lv5斧頭 | 攻 +58 防 -19 敏 -19        昏睡的精靈 Lv5 | 99
102: 小棍棒 | 攻 +4 | 100
103: 貝諾美斯Lv1棍棒 | 攻 +3                       猛毒的精靈 Lv1 | 101
104: 威金尼爾Lv1棍棒 | 攻 +3                       硬化精靈 Lv1 | 102
105: 迪所斯Lv1棍棒 | 攻 +3                       混亂的精靈 Lv1 | 103
106: 萊伊卡Lv1棍棒 | 攻 +3                       酒的精靈 Lv1 | 104
107: 特洛西Lv1棍棒 | 攻 +3                       睡眠的精靈 Lv1 | 105
108: 特洛西Lv1棍棒 | 攻 +3                       睡眠的精靈 Lv1 | 106
109: 特洛西Lv1棍棒 | 攻 +3                       睡眠的精靈 Lv1 | 107
110: 特洛西Lv1棍棒 | 攻 +3                       睡眠的精靈 Lv1 | 108
111: 特洛西Lv1棍棒 | 攻 +3                       睡眠的精靈 Lv1 | 109
112: 普通普通的棍棒 | 攻 +8 | 110
113: 貝洛薩Lv1棍棒 | 攻 +7                       毒霧的精靈 Lv1 | 111
114: 威金娜斯Lv1棍棒 | 攻 +7                       石化的精靈 Lv1 | 112
115: 貝所金Lv1棍棒 | 攻 +7                       混迷的精靈 Lv1 | 113
116: 萊伊薩Lv1棍棒 | 攻 +7                       酩酊的精靈 Lv1 | 114
117: 特洛金Lv1棍棒 | 攻 +7                       昏睡的精靈 Lv1 | 115
118: 特洛金Lv1棍棒 | 攻 +7                       昏睡的精靈 Lv1 | 116
119: 特洛金Lv1棍棒 | 攻 +7                       昏睡的精靈 Lv1 | 117
120: 特洛金Lv1棍棒 | 攻 +7                       昏睡的精靈 Lv1 | 118
121: 特洛金Lv1棍棒 | 攻 +7                       昏睡的精靈 Lv1 | 119
122: 輕的棍棒 | 攻 +11 敏 +1 | 120
123: 貝諾美斯Lv2棍棒 | 攻 +11                      猛毒的精靈 Lv2 | 121
124: 威金棍棒Lv2棍棒 | 攻 +11                      硬化的精靈 Lv2 | 122
125: 迪所斯Lv2棍棒 | 攻 +11                      混亂的精靈 Lv2 | 123
126: 萊伊卡Lv2棍棒 | 攻 +11                      酒的精靈 Lv2 | 124
127: 特洛西Lv2棍棒 | 攻 +11                      睡眠的精靈 Lv2 | 125
128: 特洛西Lv2棍棒 | 攻 +11                      睡眠的精靈 Lv2 | 126
129: 特洛西Lv2棍棒 | 攻 +11                      睡眠的精靈 Lv2 | 127
130: 特洛西Lv2棍棒 | 攻 +11                      睡眠的精靈 Lv2 | 128
131: 特洛西Lv2棍棒 | 攻 +11                      睡眠的精靈 Lv2 | 129
132: 重的棍棒 | 攻 +17 敏 -1 | 130
133: 貝洛薩Lv2棍棒 | 攻 +15                      毒霧的精靈 Lv2 | 131
134: 威金娜斯Lv2棍棒 | 攻 +15                      石化的精靈 Lv2 | 132
135: 貝所金Lv2棍棒 | 攻 +15                      混迷的精靈 Lv2 | 133
136: 萊伊薩Lv2棍棒 | 攻 +15                      酩酊的精靈 Lv2 | 134
137: 特洛金Lv2棍棒 | 攻 +15                      昏睡的精靈 Lv2 | 135
138: 特洛金Lv2棍棒 | 攻 +15                      昏睡的精靈 Lv2 | 136
139: 特洛金Lv2棍棒 | 攻 +15                      昏睡的精靈 Lv2 | 137
140: 特洛金Lv2棍棒 | 攻 +15                      昏睡的精靈 Lv2 | 138
141: 特洛金Lv2棍棒 | 攻 +15                      昏睡的精靈 Lv2 | 139
142: 大的棍棒 | 攻 +20 | 140
143: 貝諾美斯Lv3棍棒 | 攻 +19                      猛毒的精靈 Lv3 | 141
144: 威金尼爾Lv3棍棒 | 攻 +19                      硬化精靈 Lv3 | 142
145: 迪所斯Lv3棍棒 | 攻 +19                      混亂的精靈 Lv3 | 143
146: 萊伊卡Lv3棍棒 | 攻 +19                      酒的精靈 Lv3 | 144
147: 特洛西Lv3棍棒 | 攻 +19                      睡眠的精靈 Lv3 | 145
148: 特洛西Lv3棍棒 | 攻 +19                      睡眠的精靈 Lv3 | 146
149: 特洛西Lv3棍棒 | 攻 +19                      睡眠的精靈 Lv3 | 147
150: 特洛西Lv3棍棒 | 攻 +19                      睡眠的精靈 Lv3 | 148
151: 特洛西Lv3棍棒 | 攻 +19                      睡眠的精靈 Lv3 | 149
152: 硬的棍棒 | 攻 +24 | 150
153: 貝洛薩Lv3棍棒 | 攻 +23                      毒霧的精靈 Lv3 | 151
154: 威金娜斯Lv3棍棒 | 攻 +23                      石化的精靈 Lv3 | 152
155: 貝所金Lv3棍棒 | 攻 +23                      混迷的精靈 Lv3 | 153
156: 萊伊薩Lv3棍棒 | 攻 +23                      酩酊的精靈 Lv3 | 154
157: 特洛金Lv3棍棒 | 攻 +23                      昏睡的精靈 Lv3 | 155
158: 特洛金Lv3棍棒 | 攻 +23                      昏睡的精靈 Lv3 | 156
159: 特洛金Lv3棍棒 | 攻 +23                      昏睡的精靈 Lv3 | 157
160: 特洛金Lv3棍棒 | 攻 +23                      昏睡的精靈 Lv3 | 158
161: 特洛金Lv3棍棒 | 攻 +23                      昏睡的精靈 Lv3 | 159
162: 強的棍棒 | 攻 +28 | 160
163: 貝諾美斯Lv4棍棒 | 攻 +27                      猛毒的精靈 Lv4 | 161
164: 威金娜斯Lv4棍棒 | 攻 +27                      硬化的精靈 Lv4 | 162
165: 迪所斯Lv4棍棒 | 攻 +27                      混亂的精靈 Lv4 | 163
166: 萊伊卡Lv4棍棒 | 攻 +27                      酒的精靈 Lv4 | 164
167: 特洛西Lv4棍棒 | 攻 +27                      睡眠的精靈 Lv4 | 165
168: 特洛西Lv4棍棒 | 攻 +27                      睡眠的精靈 Lv4 | 166
169: 特洛西Lv4棍棒 | 攻 +27                      睡眠的精靈 Lv4 | 167
170: 特洛西Lv4棍棒 | 攻 +27                      睡眠的精靈 Lv4 | 168
171: 特洛西Lv4棍棒 | 攻 +27                      睡眠的精靈 Lv4 | 169
172: 厲害的棍棒 | 攻 +32 | 170
173: 貝洛薩Lv4棍棒 | 攻 +31                      毒霧的精靈 Lv4 | 171
174: 威金娜斯Lv4棍棒 | 攻 +31                      石化的精靈 Lv4 | 172
175: 貝所金Lv4棍棒 | 攻 +31                      混迷的精靈 Lv4 | 173
176: 萊伊薩Lv4棍棒 | 攻 +31                      酩酊的精靈 Lv4 | 174
177: 特洛金Lv4棍棒 | 攻 +31                      昏睡的精靈 Lv4 | 175
178: 特洛金Lv4棍棒 | 攻 +31                      昏睡的精靈 Lv4 | 176
179: 特洛金Lv4棍棒 | 攻 +31                      昏睡的精靈 Lv4 | 177
180: 特洛金Lv4棍棒 | 攻 +31                      昏睡的精靈 Lv4 | 178
181: 特洛金Lv4棍棒 | 攻 +31                      昏睡的精靈 Lv4 | 179
182: 加加的棍棒 | 攻 +36 | 180
183: 貝諾美斯Lv5棍棒 | 攻 +35                      猛毒的精靈 Lv5 | 181
184: 威金尼爾Lv5棍棒 | 攻 +35                      硬化的精靈 Lv5 | 182
185: 迪所斯Lv5棍棒 | 攻 +35                      混亂的精靈 Lv5 | 183
186: 萊伊卡Lv5棍棒 | 攻 +35                      酒的精靈 Lv5 | 184
187: 特洛西Lv5棍棒 | 攻 +35                      睡眠的精靈 Lv5 | 185
188: 特洛西Lv5棍棒 | 攻 +35                      睡眠的精靈 Lv5 | 186
189: 特洛西Lv5棍棒 | 攻 +35                      睡眠的精靈 Lv5 | 187
190: 特洛西Lv5棍棒 | 攻 +35                      睡眠的精靈 Lv5 | 188
191: 特洛西Lv5棍棒 | 攻 +35                      睡眠的精靈 Lv5 | 189
192: 薩姆吉爾的棍棒 | 攻 +40 | 190
193: 貝洛薩Lv5棍棒 | 攻 +39                      毒霧的精靈 Lv5 | 191
194: 威金娜斯Lv5棍棒 | 攻 +39                      石化的精靈 Lv5 | 192
195: 貝所金Lv5棍棒 | 攻 +39                      混迷的精靈 Lv5 | 193
196: 萊伊薩Lv5棍棒 | 攻 +39                      酩酊的精靈 Lv5 | 194
197: 特洛金Lv5棍棒 | 攻 +39                      昏睡的精靈 Lv5 | 195
198: 特洛金Lv5棍棒 | 攻 +39                      昏睡的精靈 Lv5 | 196
199: 特洛金Lv5棍棒 | 攻 +39                      昏睡的精靈 Lv5 | 197
200: 特洛金Lv5棍棒 | 攻 +39                      昏睡的精靈 Lv5 | 198
